year,publisher,paper_key,pos,name,global_key_x,conf_key,link_x,title_x,pages,citations,l0,l1,l2,gender,global_key_y,title_y,link_y,cs,de,se,th,type
2015,USENIX Association,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229
2015,\N,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
2016,AAAI Press,2911,2911,2911,2911,2911,2911,2911,2911,2911,2911,2911,2911,2911,2911,2911,2911,2911,2911,2911,2911,2911
2016,ACM,15997,15997,15997,15997,15997,15997,15997,15997,15997,15997,15997,15997,15997,15997,15997,15997,15997,15997,15997,15997,15997
2016,CEUR-WS.org,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479
2016,EasyChair,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2016,IEEE,2049,2049,2049,2049,2049,2049,2049,2049,2049,2049,2049,2049,2049,2049,2049,2049,2049,2049,2049,2049,2049
2016,IEEE Computer Society,4369,4369,4369,4369,4369,4369,4369,4369,4369,4369,4369,4369,4369,4369,4369,4369,4369,4369,4369,4369,4369
2016,IJCAI/AAAI Press,2213,2213,2213,2213,2213,2213,2213,2213,2213,2213,2213,2213,2213,2213,2213,2213,2213,2213,2213,2213,2213
2016,JMLR.org,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295
2016,OpenProceedings.org,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386
2016,SIAM,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
